"samplec","Tobs","ele","Tmed"
"Jul",11.1,442,14.92
"Jul",10.5,465,14.81
"Jul",12.8,475,14.78
"Jul",13.1,477,14.77
"Jul",15.3,571,14.39
"Jul",10.2,601,14.26
"Jul",9.8,621,14.17
"Jul",8.6,639,14.09
"Jul",12.6,708,13.75
"Jul",15.6,712,13.74
"Jul",7.4,929,12.75
"Jul",6.8,958,12.61
"Jul",15.3,983,12.48
"Jul",6.7,985,12.47
"Jul",8.1,991,12.43
"Jul",8.9,1024,12.29
"Jul",6.9,1131,11.85
"Jul",5.6,1139,11.82
"Jul",-1,1198,11.58
"Jul",3,1303,11.04
"Jul",3.4,1330,10.89
"Jul",13.7,1337,10.85
"Jul",-0.5,1353,10.77
"Jul",3.7,1373,10.68
"Jul",7.2,1425,10.43
"Jul",8.5,1444,10.33
"Jul",10.1,1546,9.78
"Jul",0.5,1575,9.63
"Jul",3.8,1586,9.57
"Jul",2.5,1627,9.39
"Jul",7.5,1633,9.36
"Jul",12.9,1636,9.35
"Jul",6.6,1796,8.93
"Aug",13.2,312,14.12
"Aug",12.7,322,14.08
"Aug",13.8,328,14.06
"Aug",10.6,352,13.98
"Aug",13.5,384,13.86
"Aug",10.5,442,13.66
"Aug",13.5,465,13.53
"Aug",13.2,475,13.48
"Aug",12.7,477,13.46
"Aug",5.1,571,12.97
"Aug",8.3,601,12.84
"Aug",10.5,621,12.75
"Aug",14.5,639,12.66
"Aug",6.3,708,12.34
"Aug",7,712,12.33
"Aug",11.7,929,11.32
"Aug",11.8,958,11.19
"Aug",11.9,983,11.07
"Aug",11.9,985,11.06
"Aug",11.7,991,11.03
"Aug",6.8,1024,10.89
"Aug",11,1131,10.46
"Aug",3.2,1139,10.43
"Aug",-0.3,1198,10.19
"Aug",0.5,1303,9.67
"Aug",2.2,1330,9.53
"Aug",6.4,1337,9.5
"Aug",-1.5,1353,9.43
"Aug",-0.3,1373,9.34
"Aug",2.7,1425,9.11
"Aug",5.1,1444,9.02
"Aug",7.5,1546,8.49
"Aug",0.3,1575,8.36
"Aug",7.4,1586,8.31
"Aug",2.7,1627,8.16
"Aug",-2.8,1633,8.14
"Aug",-1.2,1636,8.13
"Aug",8.8,1796,7.85
